protein_idx,gene_id,gene_symbol
0,114787,GPRIN1
1,375519,GJB7
2,285613,RELL2
3,7448,VTN
4,4914,NTRK1
5,51343,FZR1
6,8089,YEATS4
7,2775,GNAO1
8,3184,HNRNPD
9,29785,CYP2S1
10,2781,GNAZ
11,5793,PTPRG
12,23528,ZNF281
13,84548,TMEM185A
14,51150,SDF4
15,54825,CDHR2
16,10217,CTDSPL
17,57559,STAMBPL1
18,1901,S1PR1
19,114786,XKR4
20,55200,PLEKHG6
21,137695,TMEM68
22,9662,CEP135
23,114785,MBD6
24,11340,EXOSC8
25,3607,FOXK2
26,221937,FOXK1
27,8338,HIST2H2AC
28,11266,DUSP12
29,342371,ATXN1L
30,23172,FAM175B
31,221656,KDM1B
32,118460,EXOSC6
33,221613,HIST1H2AA
34,55252,ASXL2
35,92815,HIST3H2A
36,54464,XRN1
37,8314,BAP1
38,8331,HIST1H2AJ
39,8337,HIST2H2AA3
40,8334,HIST1H2AC
41,3054,HCFC1
42,171023,ASXL1
43,85235,HIST1H2AH
44,1994,ELAVL1
45,3013,HIST1H2AD
46,7311,UBA52
47,8930,MBD4
48,7314,UBB
49,6233,RPS27A
50,114784,CSMD2
51,25,ABL1
52,4690,NCK1
53,5335,PLCG1
54,2534,FYN
55,1398,CRK
56,114783,LMTK3
57,7704,ZBTB16
58,5980,REV3L
59,5499,PPP1CA
60,4609,MYC
61,221545,C6orf136
62,55605,KIF21A
63,5347,PLK1
64,1460,CSNK2B
65,55294,FBXW7
66,114781,BTBD9
67,9616,RNF7
68,84893,FBXO18
69,121551,BTBD11
70,79791,FBXO31
71,339745,SPOPL
72,26260,FBXO25
73,51013,EXOSC1
74,55964,SEPT3
75,5607,MAP2K5
76,5887,RAD23B
77,129285,PPP1R21
78,10130,PDIA6
79,26224,FBXL3
80,491,ATP2B2
81,25841,ABTB2
82,8945,BTRC
83,11124,FAF1
84,874,CBR3
85,112936,VPS26B
86,114609,TIRAP
87,25827,FBXL2
88,26272,FBXO4
89,26270,FBXO6
90,90135,BTBD6
91,26232,FBXO2
92,162517,FBXO39
93,4738,NEDD8
94,54810,GIPC2
95,29761,USP25
96,23291,FBXW11
97,55031,USP47
98,57456,KIAA1143
99,253827,MSRB3
100,54165,DCUN1D1
101,126433,FBXO27
102,4211,MEIS1
103,899,CCNF
104,8454,CUL1
105,8405,SPOP
106,8452,CUL3
107,80325,ABTB1
108,23194,FBXL7
109,22903,BTBD3
110,390598,SKOR1
111,11146,GLMN
112,54836,BSPRY
113,114907,FBXO32
114,220134,SKA1
115,51035,UBXN1
116,6502,SKP2
117,10987,COPS5
118,6500,SKP1
119,10980,COPS6
120,55040,EPN3
121,54620,FBXL19
122,126326,GIPC3
123,55890,GPRC5C
124,115290,FBXO17
125,26268,FBXO9
126,9550,ATP6V1G1
127,26043,UBXN7
128,9978,RBX1
129,10755,GIPC1
130,53339,BTBD1
131,93611,FBXO44
132,114780,PKD1L2
133,5587,PRKD1
134,27039,PKD2L2
135,2768,GNA12
136,2771,GNAI2
137,5310,PKD1
138,6464,SHC1
139,168507,PKD1L1
140,6733,SRPK2
141,4543,MTNR1A
142,143888,KDELC2
143,55061,SUSD4
144,64856,VWA1
145,160140,C11orf65
146,79600,TCTN1
147,649,BMP1
148,114789,SLC25A25
149,23012,STK38L
150,3914,LAMB3
151,10988,METAP2
152,6564,SLC15A1
153,3598,IL13RA2
154,79085,SLC25A23
155,6272,SORT1
156,4035,LRP1
157,974,CD79B
158,10482,NXF1
159,10492,SYNCRIP
160,114788,CSMD3
161,79954,NOL10
162,312,ANXA13
163,348995,NUP43
164,83695,RHNO1
165,7227,TRPS1
166,392255,GDF6
167,28996,HIPK2
168,5553,PRG2
169,1263,PLK3
170,8626,TP63
171,7329,UBE2I
172,6721,SREBF2
173,10212,DDX39A
174,340571,NA
175,6478,SIAH2
176,26574,AATF
177,5371,PML
178,8493,PPM1D
179,26273,FBXO3
180,8717,TRADD
181,25942,SIN3A
182,23118,TAB2
183,9063,PIAS2
184,2919,CXCL1
185,54739,XAF1
186,1026,CDKN1A
187,1499,CTNNB1
188,8535,CBX4
189,4172,MCM3
190,83439,TCF7L1
191,4878,NPPA
192,7089,TLE2
193,1385,CREB1
194,1387,CREBBP
195,10048,RANBP9
196,10454,TAB1
197,84445,LZTS2
198,10733,PLK4
199,1482,NKX2-5
200,4208,MEF2C
201,9149,DYRK1B
202,1487,CTBP1
203,128866,CHMP4B
204,10238,DCAF7
205,3303,HSPA1A
206,4204,MECP2
207,1859,DYRK1A
208,140894,CNBD2
209,4214,MAP3K1
210,51176,LEF1
211,9525,VPS4B
212,4193,MDM2
213,6672,SP100
214,3159,HMGA1
215,2274,FHL2
216,5577,PRKAR2B
217,5576,PRKAR2A
218,8349,HIST2H2BE
219,5080,PAX6
220,5573,PRKAR1A
221,3091,HIF1A
222,29843,SENP1
223,579,NKX3-2
224,7132,TNFRSF1A
225,345651,ACTBL2
226,6477,SIAH1
227,7919,DDX39B
228,7341,SUMO1
229,7090,TLE3
230,7091,TLE4
231,7157,TP53
232,4824,NKX3-1
233,126520,PLK5
234,9133,CCNB2
235,2626,GATA4
236,9134,CCNE2
237,63970,TP53AIP1
238,6613,SUMO2
239,6612,SUMO3
240,6885,MAP3K7
241,26524,LATS2
242,4605,MYBL2
243,4602,MYB
244,4603,MYBL1
245,94241,TP53INP1
246,7080,NKX2-1
247,56963,RGMA
248,51510,CHMP5
249,861,RUNX1
250,7088,TLE1
251,7161,TP73
252,5575,PRKAR1B
253,6497,SKI
254,10273,STUB1
255,4086,SMAD1
256,4087,SMAD2
257,4088,SMAD3
258,79816,TLE6
259,5119,CHMP1A
260,59343,SENP2
261,3065,HDAC1
