side effect	catagory	catagory name
atelectasis	C08	respiratory tract diseases
back ache	C23	pathological conditions, signs and symptoms
lung edema	C08	respiratory tract diseases
acidosis	C18	nutritional and metabolic diseases
peliosis	C06	digestive system diseases
peliosis	C14	cardiovascular diseases
apnea	C08	respiratory tract diseases
apnea	C23	pathological conditions, signs and symptoms
drug hypersensitivity	C20	immune system diseases
drug hypersensitivity	C25	chemically-induced disorders
flatulence	C23	pathological conditions, signs and symptoms
allergies	C20	immune system diseases
thrombocytopenia	C15	hemic and lymphatic diseases
bradycardia	C14	cardiovascular diseases
bradycardia	C23	pathological conditions, signs and symptoms
bleeding	C23	pathological conditions, signs and symptoms
hyperglycaemia	C18	nutritional and metabolic diseases
peritonitis	C01	infections
peritonitis	C06	digestive system diseases
hypoglycaemia	C18	nutritional and metabolic diseases
asystole	C14	cardiovascular diseases
cerebral infarct	C10	nervous system diseases
cerebral infarct	C14	cardiovascular diseases
cerebral infarct	C23	pathological conditions, signs and symptoms
hypoxia	C23	pathological conditions, signs and symptoms
adynamic ileus	C06	digestive system diseases
sepsis	C01	infections
sepsis	C23	pathological conditions, signs and symptoms
hypomagnesaemia	C18	nutritional and metabolic diseases
acute respiratory distress syndrome	C08	respiratory tract diseases
lipoma	C04	neoplasms
flank pain	C23	pathological conditions, signs and symptoms
pneumothorax	C08	respiratory tract diseases
appendicitis	C01	infections
appendicitis	C06	digestive system diseases
strabismus	C10	nervous system diseases
strabismus	C11	eye diseases
blood calcium decreased	C18	nutritional and metabolic diseases
respiratory failure	C08	respiratory tract diseases
pulmonary hypertension	C08	respiratory tract diseases
pulmonary hypertension	C14	cardiovascular diseases
hypercapnia	C23	pathological conditions, signs and symptoms
intestinal perforation	C06	digestive system diseases
leucocytosis	C15	hemic and lymphatic diseases
leucocytosis	C23	pathological conditions, signs and symptoms
arterial pressure nos decreased	C14	cardiovascular diseases
metabolic acidosis	C18	nutritional and metabolic diseases
bladder inflammation	C12	male urogenital diseases
bladder inflammation	C13	female urogenital diseases and pregnancy complications
sinus tachycardia	C14	cardiovascular diseases
sinus tachycardia	C23	pathological conditions, signs and symptoms
arterial pressure nos increased	C14	cardiovascular diseases
edema	C23	pathological conditions, signs and symptoms
disease of liver	C06	digestive system diseases
anaphylactic reaction	C20	immune system diseases
acute pancreatitis	C06	digestive system diseases
neumonia	C01	infections
neumonia	C08	respiratory tract diseases
adenocarcinoma	C04	neoplasms
confusion	C10	nervous system diseases
confusion	C23	pathological conditions, signs and symptoms
malnourished	C18	nutritional and metabolic diseases
haemorrhoids	C06	digestive system diseases
haemorrhoids	C14	cardiovascular diseases
still birth	C13	female urogenital diseases and pregnancy complications
still birth	C23	pathological conditions, signs and symptoms
anaemia	C15	hemic and lymphatic diseases
encephalopathy	C10	nervous system diseases
anorexia	C23	pathological conditions, signs and symptoms
tremor	C10	nervous system diseases
tremor	C23	pathological conditions, signs and symptoms
hallucination	C10	nervous system diseases
hallucination	C23	pathological conditions, signs and symptoms
chronic obstructive airway disease	C08	respiratory tract diseases
head ache	C23	pathological conditions, signs and symptoms
back injury	C26	wounds and injuries
erythema	C17	skin and connective tissue diseases
erythema	C23	pathological conditions, signs and symptoms
diplopia	C10	nervous system diseases
diplopia	C11	eye diseases
diplopia	C23	pathological conditions, signs and symptoms
enlarged spleen	C23	pathological conditions, signs and symptoms
narcolepsy	C10	nervous system diseases
esophageal spasm	C06	digestive system diseases
erosive gastritis	C06	digestive system diseases
breast cancer	C04	neoplasms
breast cancer	C17	skin and connective tissue diseases
haemolytic anaemia	C15	hemic and lymphatic diseases
icterus	C23	pathological conditions, signs and symptoms
gastroenteritis	C06	digestive system diseases
optic disc edema	C10	nervous system diseases
optic disc edema	C11	eye diseases
sleep disorder	C10	nervous system diseases
sleep disorder	C23	pathological conditions, signs and symptoms
septic shock	C01	infections
septic shock	C23	pathological conditions, signs and symptoms
bladder retention	C12	male urogenital diseases
bladder retention	C13	female urogenital diseases and pregnancy complications
aphonia	C08	respiratory tract diseases
aphonia	C09	otorhinolaryngologic diseases
aphonia	C10	nervous system diseases
aphonia	C23	pathological conditions, signs and symptoms
pain	C23	pathological conditions, signs and symptoms
idiopathic thrombocytopenic purpura	C15	hemic and lymphatic diseases
idiopathic thrombocytopenic purpura	C20	immune system diseases
idiopathic thrombocytopenic purpura	C23	pathological conditions, signs and symptoms
pneumonia staphylococcal	C01	infections
